Wavelength,Value,Boxcolor,Lightintensity
775.5,1.92E-02,blue,low
776,1.84E-02,blue,low
776.5,1.70E-02,blue,low
777,1.60E-02,blue,low
777.5,1.60E-02,blue,low
778,1.52E-02,blue,low
778.5,1.54E-02,blue,low
779,1.57E-02,blue,low
779.5,1.47E-02,blue,low
780,1.44E-02,blue,low
780.5,1.48E-02,blue,low
781,1.40E-02,blue,low
781.5,1.35E-02,blue,low
782,1.34E-02,blue,low
782.5,1.41E-02,blue,low
783,1.44E-02,blue,low
783.5,1.39E-02,blue,low
784,1.43E-02,blue,low
784.5,1.39E-02,blue,low
785,1.41E-02,blue,low
785.5,1.44E-02,blue,low
786,1.46E-02,blue,low
786.5,1.38E-02,blue,low
787,1.30E-02,blue,low
787.5,1.28E-02,blue,low
788,1.30E-02,blue,low
788.5,1.33E-02,blue,low
789,1.38E-02,blue,low
789.5,1.41E-02,blue,low
790,1.52E-02,blue,low
790.5,1.48E-02,blue,low
791,1.41E-02,blue,low
791.5,1.37E-02,blue,low
792,1.38E-02,blue,low
792.5,1.78E-02,blue,low
793,2.48E-02,blue,low
793.5,3.35E-02,blue,low
794,3.88E-02,blue,low
794.5,3.70E-02,blue,low
795,3.38E-02,blue,low
795.5,2.85E-02,blue,low
796,2.36E-02,blue,low
796.5,2.04E-02,blue,low
797,1.75E-02,blue,low
797.5,1.58E-02,blue,low
798,1.49E-02,blue,low
798.5,1.77E-02,blue,low
799,2.61E-02,blue,low
799.5,3.92E-02,blue,low
